address,date,time,SMS Type,Amount (BHD),Merchant,Transaction Category,body
NBK Bahrain,25-04-25,10:52:41 AM,OTP,,,,Your OTP for Login to Mobile Banking is 441026. It is valid for 5 Minutes.
NBK Bahrain,25-04-25,11:13:24 AM,Purchase,4.225,JESR,General,Thank you for using credit card 4285XXX2529 for BHD 4.225 at JESR on 25/04/2025 11:13. Available balance: BHD 3125.228. For enquiry 17155555.
NBK Bahrain,25-04-25,5:32:05 PM,Purchase,5.718,ALAAFOOR PACKAGING,General,Thank you for using credit card 4285XXX2529 for BHD 5.718 at ALAAFOOR PACKAGING on 25/04/2025 17:32. Available balance: BHD 3119.510. For enquiry 17155555.
NBK Bahrain,25-04-25,9:05:08 PM,Purchase,0.917,MARKS & SPENCER,General,Thank you for using credit card 4285XXX2529 for BHD 0.917 at MARKS & SPENCER on 25/04/2025 21:05. Available balance: BHD 3118.593. For enquiry 17155555.
NBK Bahrain,26-04-25,9:35:41 AM,Purchase,26.619,SHARAF DG CO WLL,General,Thank you for using credit card 4285XXX2529 for BHD 26.619 at SHARAF DG CO WLL on 26/04/2025 09:35. Available balance: BHD 3091.974. For enquiry 17155555.
NBK Bahrain,26-04-25,9:47:59 PM,Purchase,5.992,ROAST WLL,General,Thank you for using credit card 4285XXX2529 for BHD 5.992 at ROAST WLL on 26/04/2025 21:47. Available balance: BHD 3085.982. For enquiry 17155555.
NBK Bahrain,27-04-25,1:27:08 AM,OTP,,,,Your OTP for Login to Mobile Banking is 207185. It is valid for 5 Minutes.
NBK Bahrain,27-04-25,1:35:33 AM,Purchase,0.98,AL NAKHEEL PREMIUM,General,Thank you for using credit card 4285XXX2529 for BHD 0.980 at AL NAKHEEL PREMIUM on 27/04/2025 01:35. Available balance: BHD 3085.002. For enquiry 17155555.
NBK Bahrain,27-04-25,4:00:30 AM,Purchase,7.842,PAYPAL *SHOPIFY,General,Thank you for using credit card 4285XXX2529 for BHD 7.842 at PAYPAL *SHOPIFY on 27/04/2025 04:00. Available balance: BHD 3077.160. For enquiry 17155555.
NBK Bahrain,27-04-25,4:57:34 AM,OTP,,,,Your OTP for Login to Mobile Banking is 400497. It is valid for 5 Minutes.
NBK Bahrain,27-04-25,4:14:05 PM,Purchase,1.406,Cars,General,Thank you for using credit card 4285XXX2529 for BHD 1.406 at Cars on 27/04/2025 16:14. Available balance: BHD 3075.754. For enquiry 17155555.
NBK Bahrain,28-04-25,12:57:57 AM,OTP,,,,Your OTP for Login to Mobile Banking is 436623. It is valid for 5 Minutes.
NBK Bahrain,28-04-25,5:11:38 AM,Purchase,0.922,HEALTHY CALORIE MO,Food & Beverages,Thank you for using credit card 4285XXX2529 for BHD 0.922 at HEALTHY CALORIE MO on 28/04/2025 05:11. Available balance: BHD 3074.832. For enquiry 17155555.
NBK Bahrain,28-04-25,10:10:53 AM,Purchase,4.853,ALJAZIRA S/MARKET-,Shopping/Grocery,Thank you for using credit card 4285XXX2529 for BHD 4.853 at ALJAZIRA S/MARKET- on 28/04/2025 10:10. Available balance: BHD 3069.979. For enquiry 17155555.
NBK Bahrain,28-04-25,10:31:16 PM,Purchase,7.1,ICE TOWN JUICES,General,Thank you for using credit card 4285XXX2529 for BHD 7.100 at ICE TOWN JUICES on 28/04/2025 22:31. Available balance: BHD 3062.879. For enquiry 17155555.
NBK Bahrain,29-04-25,7:41:03 AM,Purchase,10.125,JASMIS CORPORATION,General,Thank you for using credit card 4285XXX2529 for BHD 10.125 at JASMIS CORPORATION on 29/04/2025 07:41. Available balance: BHD 3052.754. For enquiry 17155555.
NBK Bahrain,29-04-25,9:15:58 PM,Purchase,0.797,BOOTS,General,Thank you for using credit card 4285XXX2529 for BHD 0.797 at BOOTS on 29/04/2025 21:15. Available balance: BHD 3051.957. For enquiry 17155555.
NBK Bahrain,01-05-25,3:49:19 AM,Purchase,1.527,TALABAT,Food & Beverages,Thank you for using credit card 4285XXX2529 for BHD 1.527 at TALABAT on 01/05/2025 03:49. Available balance: BHD 3050.430. For enquiry 17155555.
NBK Bahrain,01-05-25,7:34:04 AM,Purchase,4.841,ALQALLAF PEST CONT,General,Thank you for using credit card 4285XXX2529 for BHD 4.841 at ALQALLAF PEST CONT on 01/05/2025 07:34. Available balance: BHD 3045.589. For enquiry 17155555.
NBK Bahrain,01-05-25,1:30:07 PM,OTP,,,,Your OTP for Login to Mobile Banking is 643371. It is valid for 5 Minutes.
NBK Bahrain,01-05-25,10:35:52 PM,OTP,,,,Your OTP for Login to Mobile Banking is 655524. It is valid for 5 Minutes.
NBK Bahrain,02-05-25,1:44:19 AM,Purchase,0.675,BAKU CAFE,Food & Beverages,Thank you for using credit card 4285XXX2529 for BHD 0.675 at BAKU CAFE on 02/05/2025 01:44. Available balance: BHD 3044.914. For enquiry 17155555.
NBK Bahrain,02-05-25,2:02:51 AM,Purchase,7.835,OAK - RIFFA,General,Thank you for using credit card 4285XXX2529 for BHD 7.835 at OAK - RIFFA on 02/05/2025 02:02. Available balance: BHD 3037.079. For enquiry 17155555.
NBK Bahrain,02-05-25,4:27:47 AM,Purchase,4.58,SHARAF DG CO WLL,General,Thank you for using credit card 4285XXX2529 for BHD 4.580 at SHARAF DG CO WLL on 02/05/2025 04:27. Available balance: BHD 3032.499. For enquiry 17155555.
NBK Bahrain,02-05-25,6:20:50 AM,Purchase,11.379,UNITED INSURANCE -,General,Thank you for using credit card 4285XXX2529 for BHD 11.379 at UNITED INSURANCE - on 02/05/2025 06:20. Available balance: BHD 3021.120. For enquiry 17155555.
NBK Bahrain,02-05-25,7:45:25 PM,Purchase,2.67,BLISSLAB - LIWAN M,General,Thank you for using credit card 4285XXX2529 for BHD 2.670 at BLISSLAB - LIWAN M on 02/05/2025 19:45. Available balance: BHD 3018.450. For enquiry 17155555.
NBK Bahrain,03-05-25,2:47:14 PM,Purchase,21.65,Aljafen Copy Top,General,Thank you for using credit card 4285XXX2529 for BHD 21.650 at Aljafen Copy Top on 03/05/2025 14:47. Available balance: BHD 2996.800. For enquiry 17155555.
NBK Bahrain,03-05-25,6:49:42 PM,OTP,,,,Your OTP for Login to Mobile Banking is 613270. It is valid for 5 Minutes.
NBK Bahrain,03-05-25,6:55:51 PM,Purchase,18.651,DR EYAD JAMSHEER C,General,Thank you for using credit card 4285XXX2529 for BHD 18.651 at DR EYAD JAMSHEER C on 03/05/2025 18:55. Available balance: BHD 2978.149. For enquiry 17155555.
NBK Bahrain,03-05-25,7:15:49 PM,Purchase,5.269,PAYPAL *SHOPIFY,General,Thank you for using credit card 4285XXX2529 for BHD 5.269 at PAYPAL *SHOPIFY on 03/05/2025 19:15. Available balance: BHD 2972.880. For enquiry 17155555.
NBK Bahrain,03-05-25,11:12:21 PM,Purchase,5.947,AL-SHERA AUTO ACCE,General,Thank you for using credit card 4285XXX2529 for BHD 5.947 at AL-SHERA AUTO ACCE on 03/05/2025 23:12. Available balance: BHD 2966.933. For enquiry 17155555.
NBK Bahrain,04-05-25,8:23:47 AM,Purchase,15.928,I POINT,General,Thank you for using credit card 4285XXX2529 for BHD 15.928 at I POINT on 04/05/2025 08:23. Available balance: BHD 2951.005. For enquiry 17155555.
NBK Bahrain,04-05-25,11:49:16 AM,OTP,,,,Your OTP for Login to Mobile Banking is 918134. It is valid for 5 Minutes.
NBK Bahrain,05-05-25,7:35:46 AM,Purchase,9.756,I POINT,General,Thank you for using credit card 4285XXX2529 for BHD 9.756 at I POINT on 05/05/2025 07:35. Available balance: BHD 2941.249. For enquiry 17155555.
NBK Bahrain,05-05-25,11:36:17 PM,Purchase,4.992,ALJAZIRA S/MARKET,Shopping/Grocery,Thank you for using credit card 4285XXX2529 for BHD 4.992 at ALJAZIRA S/MARKET on 05/05/2025 23:36. Available balance: BHD 2936.257. For enquiry 17155555.
NBK Bahrain,06-05-25,2:34:19 AM,Purchase,17.615,CORTADO CAFE,Food & Beverages,Thank you for using credit card 4285XXX2529 for BHD 17.615 at CORTADO CAFE on 06/05/2025 02:34. Available balance: BHD 2918.642. For enquiry 17155555.
NBK Bahrain,06-05-25,2:51:29 AM,Purchase,6.172,WINGSTOP,General,Thank you for using credit card 4285XXX2529 for BHD 6.172 at WINGSTOP on 06/05/2025 02:51. Available balance: BHD 2912.470. For enquiry 17155555.
NBK Bahrain,06-05-25,7:21:19 PM,Purchase,10.307,AL BINDAIRA CAFE W,Food & Beverages,Thank you for using credit card 4285XXX2529 for BHD 10.307 at AL BINDAIRA CAFE W on 06/05/2025 19:21. Available balance: BHD 2902.163. For enquiry 17155555.
NBK Bahrain,06-05-25,8:09:47 PM,Purchase,2.276,SLIDERS RESTAURANT,Food & Beverages,Thank you for using credit card 4285XXX2529 for BHD 2.276 at SLIDERS RESTAURANT on 06/05/2025 20:09. Available balance: BHD 2899.887. For enquiry 17155555.
NBK Bahrain,06-05-25,8:20:15 PM,Purchase,5.081,THE SCALE RESTAURA,General,Thank you for using credit card 4285XXX2529 for BHD 5.081 at THE SCALE RESTAURA on 06/05/2025 20:20. Available balance: BHD 2894.806. For enquiry 17155555.
NBK Bahrain,07-05-25,2:56:57 AM,Purchase,3.283,OAK - RIFFA,General,Thank you for using credit card 4285XXX2529 for BHD 3.283 at OAK - RIFFA on 07/05/2025 02:56. Available balance: BHD 2891.523. For enquiry 17155555.
NBK Bahrain,07-05-25,3:17:19 PM,Purchase,1.543,BLISSLAB - LIWAN M,General,Thank you for using credit card 4285XXX2529 for BHD 1.543 at BLISSLAB - LIWAN M on 07/05/2025 15:17. Available balance: BHD 2889.980. For enquiry 17155555.
NBK Bahrain,07-05-25,7:00:28 PM,Purchase,3.062,AL NAEEM AL AALI R,General,Thank you for using credit card 4285XXX2529 for BHD 3.062 at AL NAEEM AL AALI R on 07/05/2025 19:00. Available balance: BHD 2886.918. For enquiry 17155555.
NBK Bahrain,07-05-25,8:00:52 PM,Purchase,1.395,Ashas Sweets and N,Food & Beverages,Thank you for using credit card 4285XXX2529 for BHD 1.395 at Ashas Sweets and N on 07/05/2025 20:00. Available balance: BHD 2885.523. For enquiry 17155555.
NBK Bahrain,08-05-25,9:15:08 AM,Purchase,6.77,EPIX CINEMAS W.L.L,General,Thank you for using credit card 4285XXX2529 for BHD 6.770 at EPIX CINEMAS W.L.L on 08/05/2025 09:15. Available balance: BHD 2878.753. For enquiry 17155555.
NBK Bahrain,08-05-25,7:38:49 PM,Purchase,11.788,CARIBOU COFFEE - S,Food & Beverages,Thank you for using credit card 4285XXX2529 for BHD 11.788 at CARIBOU COFFEE - S on 08/05/2025 19:38. Available balance: BHD 2866.965. For enquiry 17155555.
NBK Bahrain,08-05-25,9:56:09 PM,Purchase,5.633,ALQALLAF PEST CONT,General,Thank you for using credit card 4285XXX2529 for BHD 5.633 at ALQALLAF PEST CONT on 08/05/2025 21:56. Available balance: BHD 2861.332. For enquiry 17155555.
NBK Bahrain,08-05-25,10:12:44 PM,Purchase,22.265,THAT AL SALASIL,General,Thank you for using credit card 4285XXX2529 for BHD 22.265 at THAT AL SALASIL on 08/05/2025 22:12. Available balance: BHD 2839.067. For enquiry 17155555.
NBK Bahrain,08-05-25,11:01:00 PM,Purchase,5.378,BATELCO - E.SERVIC,General,Thank you for using credit card 4285XXX2529 for BHD 5.378 at BATELCO - E.SERVIC on 08/05/2025 23:01. Available balance: BHD 2833.689. For enquiry 17155555.
NBK Bahrain,09-05-25,8:45:37 AM,Purchase,5.971,URBAN OUTFITTERS -,General,Thank you for using credit card 4285XXX2529 for BHD 5.971 at URBAN OUTFITTERS - on 09/05/2025 08:45. Available balance: BHD 2827.718. For enquiry 17155555.
NBK Bahrain,09-05-25,7:19:47 PM,OTP,,,,Your OTP for Login to Mobile Banking is 237526. It is valid for 5 Minutes.
NBK Bahrain,10-05-25,4:35:32 PM,Purchase,10.578,SLIDERS RESTAURANT,Food & Beverages,Thank you for using credit card 4285XXX2529 for BHD 10.578 at SLIDERS RESTAURANT on 10/05/2025 16:35. Available balance: BHD 2817.140. For enquiry 17155555.
NBK Bahrain,10-05-25,8:11:14 PM,Purchase,8.618,CAF - COURTYARD SE,General,Thank you for using credit card 4285XXX2529 for BHD 8.618 at CAF - COURTYARD SE on 10/05/2025 20:11. Available balance: BHD 2808.522. For enquiry 17155555.
NBK Bahrain,11-05-25,10:24:39 PM,Purchase,0.991,VIENNA VENDING SUP,General,Thank you for using credit card 4285XXX2529 for BHD 0.991 at VIENNA VENDING SUP on 11/05/2025 22:24. Available balance: BHD 2807.531. For enquiry 17155555.
NBK Bahrain,11-05-25,10:30:42 PM,Purchase,11.536,DR JAMAL AL ZEERA,General,Thank you for using credit card 4285XXX2529 for BHD 11.536 at DR JAMAL AL ZEERA on 11/05/2025 22:30. Available balance: BHD 2795.995. For enquiry 17155555.
NBK Bahrain,11-05-25,11:27:23 PM,Purchase,24.601,TALABAT,Food & Beverages,Thank you for using credit card 4285XXX2529 for BHD 24.601 at TALABAT on 11/05/2025 23:27. Available balance: BHD 2771.394. For enquiry 17155555.
NBK Bahrain,12-05-25,6:30:44 AM,Purchase,5.226,JASMIS CORPORATION,General,Thank you for using credit card 4285XXX2529 for BHD 5.226 at JASMIS CORPORATION on 12/05/2025 06:30. Available balance: BHD 2766.168. For enquiry 17155555.
NBK Bahrain,12-05-25,6:12:55 PM,OTP,,,,Your OTP for Login to Mobile Banking is 199798. It is valid for 5 Minutes.
NBK Bahrain,13-05-25,12:47:44 AM,Purchase,1.748,ALAAFOOR PACKAGING,General,Thank you for using credit card 4285XXX2529 for BHD 1.748 at ALAAFOOR PACKAGING on 13/05/2025 00:47. Available balance: BHD 2764.420. For enquiry 17155555.
NBK Bahrain,13-05-25,7:39:45 AM,Purchase,10.26,ETIHAD AIRWAYS,General,Thank you for using credit card 4285XXX2529 for BHD 10.260 at ETIHAD AIRWAYS on 13/05/2025 07:39. Available balance: BHD 2754.160. For enquiry 17155555.
NBK Bahrain,14-05-25,1:54:10 AM,Purchase,3.503,IHERB IHERB.COM,General,Thank you for using credit card 4285XXX2529 for BHD 3.503 at IHERB IHERB.COM on 14/05/2025 01:54. Available balance: BHD 2750.657. For enquiry 17155555.
NBK Bahrain,14-05-25,12:57:04 PM,Purchase,24.019,BAKU CAFE,Food & Beverages,Thank you for using credit card 4285XXX2529 for BHD 24.019 at BAKU CAFE on 14/05/2025 12:57. Available balance: BHD 2726.638. For enquiry 17155555.
NBK Bahrain,14-05-25,5:49:47 PM,Purchase,2.631,RESTAURANT BAIT AL,Food & Beverages,Thank you for using credit card 4285XXX2529 for BHD 2.631 at RESTAURANT BAIT AL on 14/05/2025 17:49. Available balance: BHD 2724.007. For enquiry 17155555.
NBK Bahrain,15-05-25,12:23:11 AM,Purchase,6.953,DR JAMAL AL ZEERA,General,Thank you for using credit card 4285XXX2529 for BHD 6.953 at DR JAMAL AL ZEERA on 15/05/2025 00:23. Available balance: BHD 2717.054. For enquiry 17155555.
NBK Bahrain,15-05-25,10:49:07 AM,Purchase,13.285,UBER * PENDING,General,Thank you for using credit card 4285XXX2529 for BHD 13.285 at UBER * PENDING on 15/05/2025 10:49. Available balance: BHD 2703.769. For enquiry 17155555.
NBK Bahrain,15-05-25,12:11:53 PM,Purchase,2.331,EKK - TSC JANABIYA,General,Thank you for using credit card 4285XXX2529 for BHD 2.331 at EKK - TSC JANABIYA on 15/05/2025 12:11. Available balance: BHD 2701.438. For enquiry 17155555.
NBK Bahrain,15-05-25,1:53:16 PM,Purchase,19.303,GYOZA FOOD TRUCK -,General,Thank you for using credit card 4285XXX2529 for BHD 19.303 at GYOZA FOOD TRUCK - on 15/05/2025 13:53. Available balance: BHD 2682.135. For enquiry 17155555.
NBK Bahrain,15-05-25,6:24:52 PM,Purchase,2.949,FUCOM INTERNATIONA,General,Thank you for using credit card 4285XXX2529 for BHD 2.949 at FUCOM INTERNATIONA on 15/05/2025 18:24. Available balance: BHD 2679.186. For enquiry 17155555.
NBK Bahrain,16-05-25,8:11:35 AM,Purchase,6.577,CAF - COURTYARD SE,General,Thank you for using credit card 4285XXX2529 for BHD 6.577 at CAF - COURTYARD SE on 16/05/2025 08:11. Available balance: BHD 2672.609. For enquiry 17155555.
NBK Bahrain,16-05-25,9:39:05 AM,Purchase,2.288,FOUR SEASONS - FRO,General,Thank you for using credit card 4285XXX2529 for BHD 2.288 at FOUR SEASONS - FRO on 16/05/2025 09:39. Available balance: BHD 2670.321. For enquiry 17155555.
NBK Bahrain,16-05-25,1:28:09 PM,Purchase,7.657,EKK - TSC JANABIYA,General,Thank you for using credit card 4285XXX2529 for BHD 7.657 at EKK - TSC JANABIYA on 16/05/2025 13:28. Available balance: BHD 2662.664. For enquiry 17155555.
NBK Bahrain,16-05-25,1:35:41 PM,Purchase,2.612,AIRALO,General,Thank you for using credit card 4285XXX2529 for BHD 2.612 at AIRALO on 16/05/2025 13:35. Available balance: BHD 2660.052. For enquiry 17155555.
NBK Bahrain,16-05-25,8:42:54 PM,Purchase,21.808,AL NAEEM AL AALI R,General,Thank you for using credit card 4285XXX2529 for BHD 21.808 at AL NAEEM AL AALI R on 16/05/2025 20:42. Available balance: BHD 2638.244. For enquiry 17155555.
NBK Bahrain,16-05-25,9:33:03 PM,Purchase,12.846,IHERB IHERB.COM,General,Thank you for using credit card 4285XXX2529 for BHD 12.846 at IHERB IHERB.COM on 16/05/2025 21:33. Available balance: BHD 2625.398. For enquiry 17155555.
